School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
Miami Lakes Educational Center,https://www.schooldigger.com/go/FL/schools/0039004339/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,5780 NW 158th St,Miami Lakes,https://www.schooldigger.com/go/FL/city/Miami+Lakes/search.aspx,33014,Miami-Dade County,(305) 557-1100,9,12,Yes,No,Yes,No,1071,42,25.5,51.40%,34.30%,0.00%,1.80%,61.40%,0.00%,0.20%,2.30%,80.7
Pinecrest North Preparatory High School,https://www.schooldigger.com/go/FL/schools/0039008994/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,8925 Fountbleau Blvd,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33172,Miami-Dade County,(305) 456-5071,9,12,(n/a),Yes,(n/a),No,101,3,33.6,3.00%,0.00%,0.00%,1.00%,98.00%,0.00%,0.00%,1.00%,80
Florida State University School,https://www.schooldigger.com/go/FL/schools/0201303021/school.aspx,Fsu Lab School,https://www.schooldigger.com/go/FL/district/02013/search.aspx,3000 School House Rd,Tallahassee,https://www.schooldigger.com/go/FL/city/Tallahassee/search.aspx,32311,Leon County,(850) 245-3700,KG,12,Yes,Yes,No,No,1871,115.8,16.1,25.80%,20.90%,0.20%,5.60%,11.90%,0.10%,6.10%,55.30%,79.9
Somerset Academy Charter High School,https://www.schooldigger.com/go/FL/schools/0039003975/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,12425 SW 248 St,Homestead,https://www.schooldigger.com/go/FL/city/Homestead/search.aspx,33032,Miami-Dade County,(305) 257-3737,9,12,Yes,Yes,No,No,977,0,,77.10%,7.10%,0.00%,1.30%,86.20%,0.30%,0.50%,4.60%,79.5
Bartram Trail High School,https://www.schooldigger.com/go/FL/schools/0174004445/school.aspx,St. Johns,https://www.schooldigger.com/go/FL/district/01740/search.aspx,7399 Longleaf Pine Pkwy,Saint Johns,https://www.schooldigger.com/go/FL/city/Saint+Johns/search.aspx,32259,St. Johns County,(904) 547-8340,9,12,No,No,No,No,2146,101.4,21.1,3.70%,5.20%,0.10%,4.50%,13.60%,0.10%,5.50%,71.00%,79.5
Academy For Innovative Education,https://www.schooldigger.com/go/FL/schools/0039008684/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1080 La Baron Dr,Miami Springs,https://www.schooldigger.com/go/FL/city/Miami+Springs/search.aspx,33166,Miami-Dade County,(305) 725-3193,KG,12,Yes,Yes,No,No,963,53,18.1,55.70%,1.20%,0.00%,0.50%,94.00%,0.00%,0.30%,3.90%,79.3
Treasure Coast Classical Academy,https://www.schooldigger.com/go/FL/schools/0129008739/school.aspx,Martin,https://www.schooldigger.com/go/FL/district/01290/search.aspx,1400 SE Cove Rd,Stuart,https://www.schooldigger.com/go/FL/city/Stuart/search.aspx,34997,Martin County,(772) 219-1200,KG,12,No,Yes,No,No,1099,70,15.7,5.00%,1.60%,0.20%,2.90%,13.60%,0.00%,3.20%,78.40%,79.2
Biotech@richmond Heights 9-12 High School,https://www.schooldigger.com/go/FL/schools/0039008336/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,15020 SW 102nd Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33176,Miami-Dade County,(786) 573-5353,9,12,No,No,Yes,No,324,19,17,39.50%,5.20%,0.00%,0.90%,82.10%,0.00%,1.90%,9.90%,79.1
Newsome High School,https://www.schooldigger.com/go/FL/schools/0087004091/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,16550 Fishhawk Blvd,Lithia,https://www.schooldigger.com/go/FL/city/Lithia/search.aspx,33547,Hillsborough County,(813) 740-4600,9,12,No,No,No,No,3340,131,25.4,17.70%,5.90%,0.20%,4.40%,18.00%,0.10%,6.70%,64.80%,78.9
Dr Kiran C Patel High School,https://www.schooldigger.com/go/FL/schools/0087008643/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,10721 Raulerson Ranch Rd,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33637,Hillsborough County,(813) 694-7667,9,12,No,Yes,No,No,654,35,18.6,12.50%,20.00%,0.30%,13.50%,28.30%,0.30%,7.50%,30.10%,78.4
Cypress Bay High School,https://www.schooldigger.com/go/FL/schools/0018003815/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,18600 Vista Park Blvd,Weston,https://www.schooldigger.com/go/FL/city/Weston/search.aspx,33332,Broward County,(754) 323-0350,9,12,No,No,No,No,4632,189,24.5,13.10%,3.70%,0.20%,8.00%,65.70%,0.00%,1.60%,20.80%,78.4
Academy Of Environmental Science,https://www.schooldigger.com/go/FL/schools/0027004326/school.aspx,Citrus,https://www.schooldigger.com/go/FL/district/00270/search.aspx,12695 W Fort Island Trl,Crystal River,https://www.schooldigger.com/go/FL/city/Crystal+River/search.aspx,34429,Citrus County,(352) 795-8793,9,12,No,Yes,Yes,No,115,6,19.1,35.70%,0.90%,0.00%,0.00%,6.10%,0.00%,4.30%,88.70%,78.3
Plant High School,https://www.schooldigger.com/go/FL/schools/0087000999/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,2415 S Himes Ave,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33629,Hillsborough County,(813) 272-3033,9,12,No,No,No,No,2458,108.5,22.6,15.70%,5.60%,0.10%,3.80%,18.40%,0.10%,5.10%,66.80%,78.3
P.K. Yonge Developmental Research School,https://www.schooldigger.com/go/FL/schools/0201502912/school.aspx,Uf Lab School,https://www.schooldigger.com/go/FL/district/02015/search.aspx,1200 SW 6th St,Gainesville,https://www.schooldigger.com/go/FL/city/Gainesville/search.aspx,32601,Alachua County,(352) 392-1554,KG,12,Yes,No,No,No,1340,71,18.8,33.70%,21.60%,0.00%,3.70%,24.40%,0.00%,8.20%,42.00%,78.2
Marco Island Academy,https://www.schooldigger.com/go/FL/schools/0033007999/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,2255 San Marco Rd,Marco Island,https://www.schooldigger.com/go/FL/city/Marco+Island/search.aspx,34145,Collier County,(239) 393-5133,9,12,No,Yes,No,No,306,21,14.5,26.10%,1.60%,1.30%,2.00%,24.80%,0.70%,0.70%,69.00%,78
Barron Collier High School,https://www.schooldigger.com/go/FL/schools/0033000357/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,5600 Cougar Dr,Naples,https://www.schooldigger.com/go/FL/city/Naples/search.aspx,34109,Collier County,(239) 377-1200,9,12,No,No,No,No,1532,70.8,21.6,19.90%,3.70%,0.10%,3.10%,33.70%,0.00%,2.50%,57.00%,77.9
Wendell Krinn Technical High School,https://www.schooldigger.com/go/FL/schools/0153008638/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,7650 Orchid Lake Rd,New Port Richey,https://www.schooldigger.com/go/FL/city/New+Port+Richey/search.aspx,34653,Pasco County,(727) 774-3900,9,12,Yes,No,Yes,No,711,36.2,19.6,43.50%,2.00%,0.60%,1.80%,22.40%,0.00%,4.10%,69.20%,77.6
State College Of Fla Collegiate School-Venice,https://www.schooldigger.com/go/FL/schools/0168008787/school.aspx,Sarasota,https://www.schooldigger.com/go/FL/district/01680/search.aspx,8000 S Tamiami Trail,Venice,https://www.schooldigger.com/go/FL/city/Venice/search.aspx,34293,Sarasota County,(941) 408-1430,9,12,No,Yes,No,No,237,10,23.7,32.90%,2.10%,0.00%,1.30%,13.50%,0.00%,9.70%,73.40%,77.6
Beachside High School,https://www.schooldigger.com/go/FL/schools/0174008954/school.aspx,St. Johns,https://www.schooldigger.com/go/FL/district/01740/search.aspx,200 Great Barracuda Way,Saint Johns,https://www.schooldigger.com/go/FL/city/Saint+Johns/search.aspx,32259,St. Johns County,(904) 547-4402,9,12,(n/a),No,(n/a),No,1933,85,22.7,5.30%,5.90%,0.30%,7.20%,16.50%,0.20%,6.40%,63.60%,77.3
Spanish River Community High School,https://www.schooldigger.com/go/FL/schools/0150002383/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,5100 Jog Rd,Boca Raton,https://www.schooldigger.com/go/FL/city/Boca+Raton/search.aspx,33496,Palm Beach County,(561) 241-2200,6,12,No,No,Yes,No,2742,128,21.4,24.10%,6.90%,0.60%,3.50%,31.10%,0.10%,3.10%,54.60%,77.2
Villages Charter School,https://www.schooldigger.com/go/FL/schools/0180004452/school.aspx,Sumter,https://www.schooldigger.com/go/FL/district/01800/search.aspx,350 Tatonka Terrace,The Villages,https://www.schooldigger.com/go/FL/city/The+Villages/search.aspx,32162,Sumter County,(352) 259-2350,PK,12,No,Yes,No,No,3728,255.1,14.6,37.80%,5.40%,0.10%,5.30%,15.90%,0.40%,5.90%,66.90%,77.2
South Walton High School,https://www.schooldigger.com/go/FL/schools/0198003941/school.aspx,Walton,https://www.schooldigger.com/go/FL/district/01980/search.aspx,645 Greenway Trl,Santa Rosa Beach,https://www.schooldigger.com/go/FL/city/Santa+Rosa+Beach/search.aspx,32459,Walton County,(850) 622-5020,9,12,No,No,No,No,1112,58.8,18.9,20.60%,1.80%,0.50%,1.30%,17.70%,0.00%,2.90%,75.80%,77
Miami Arts Charter School,https://www.schooldigger.com/go/FL/schools/0039007599/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,95 NW 23rd St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33127,Miami-Dade County,(305) 763-6257,6,12,No,Yes,No,No,1045,58,18,0.60%,10.50%,0.00%,0.50%,65.10%,0.10%,1.40%,22.40%,76.9
Seminole County Virtual Franchise (Scvs),https://www.schooldigger.com/go/FL/schools/0171007703/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,450 Technology Park,Lake Mary,https://www.schooldigger.com/go/FL/city/Lake+Mary/search.aspx,32746,Seminole County,(407) 871-7287,KG,12,No,No,No,Yes,258,45.3,5.6,20.20%,11.20%,0.00%,3.10%,32.90%,0.00%,4.30%,48.40%,76.9
West Florida High School/Technical,https://www.schooldigger.com/go/FL/schools/0051003703/school.aspx,Escambia,https://www.schooldigger.com/go/FL/district/00510/search.aspx,150 E Burgess Rd,Pensacola,https://www.schooldigger.com/go/FL/city/Pensacola/search.aspx,32503,Escambia County,(850) 876-7300,9,12,No,No,Yes,No,1345,58,23.1,39.30%,25.10%,0.40%,5.30%,10.30%,0.30%,9.60%,49.00%,76.8
Pineapple Cove Classical Academy,https://www.schooldigger.com/go/FL/schools/0015008446/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,6162 Minton Rd NW,Palm Bay,https://www.schooldigger.com/go/FL/city/Palm+Bay/search.aspx,32907,Brevard County,(321) 802-9500,KG,12,No,Yes,No,No,1067,67.5,15.8,24.90%,6.20%,0.40%,1.80%,20.10%,0.30%,5.20%,66.10%,76.3
Belmont Academy,https://www.schooldigger.com/go/FL/schools/0036008184/school.aspx,Columbia,https://www.schooldigger.com/go/FL/district/00360/search.aspx,1476 SW Walter Ave,Lake City,https://www.schooldigger.com/go/FL/city/Lake+City/search.aspx,32024,Columbia County,(386) 487-0487,PK,12,No,Yes,No,No,823,40,20.5,37.20%,3.20%,0.20%,2.40%,9.10%,0.00%,6.20%,78.90%,76.3
Q.I. Roberts Junior - Senior High School,https://www.schooldigger.com/go/FL/schools/0162004140/school.aspx,Putnam,https://www.schooldigger.com/go/FL/district/01620/search.aspx,901 State Road 100,Florahome,https://www.schooldigger.com/go/FL/city/Florahome/search.aspx,32140,Putnam County,(386) 659-1737,7,12,Yes,No,No,No,495,26.9,18.3,40.80%,11.30%,0.00%,3.20%,12.10%,0.20%,7.30%,65.90%,76
Palm Harbor University High,https://www.schooldigger.com/go/FL/schools/0156003014/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,1900 Omaha St,Palm Harbor,https://www.schooldigger.com/go/FL/city/Palm+Harbor/search.aspx,34683,Pinellas County,(727) 669-1131,9,12,No,No,Yes,No,2502,112,22.3,25.60%,1.80%,0.00%,6.00%,13.10%,0.30%,3.90%,74.80%,75.8
Don Soffer Aventura Charter High School,https://www.schooldigger.com/go/FL/schools/0039008751/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,3151 NE 213 St,Aventura,https://www.schooldigger.com/go/FL/city/Aventura/search.aspx,33180,Miami-Dade County,(786) 481-3032,9,12,No,Yes,No,No,829,42,19.7,14.20%,1.00%,0.00%,2.30%,51.30%,0.00%,0.50%,45.00%,75.8
International Studies Charter High School,https://www.schooldigger.com/go/FL/schools/0039003977/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,2480 SW 8th St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33135,Miami-Dade County,(305) 643-2955,9,12,No,Yes,No,No,360,18,20,60.30%,1.90%,0.00%,1.40%,78.90%,0.00%,0.60%,17.20%,75.6
St. Johns Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0174007505/school.aspx,St. Johns,https://www.schooldigger.com/go/FL/district/01740/search.aspx,2980 Collins Ave,St Augustine,https://www.schooldigger.com/go/FL/city/St+Augustine/search.aspx,32084,St. Johns County,(904) 547-8500,KG,12,No,No,No,Yes,347,20,17.3,,3.70%,0.00%,2.30%,11.80%,0.00%,6.30%,75.80%,75.5
Cornerstone Classical Academy,https://www.schooldigger.com/go/FL/schools/0048008874/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,2360 St Johns Bluff Rd S,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32246,Duval County,(904) 469-8171,PK,12,No,Yes,No,No,858,0,,,3.40%,0.50%,2.00%,8.20%,0.20%,7.10%,78.70%,75.5
Satellite Senior High School,https://www.schooldigger.com/go/FL/schools/0015000131/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,300 Scorpion Ct,Satellite Beach,https://www.schooldigger.com/go/FL/city/Satellite+Beach/search.aspx,32937,Brevard County,(321) 779-2000,9,12,No,No,No,No,1508,68,22.1,19.70%,1.60%,0.30%,1.40%,9.00%,0.20%,5.50%,82.00%,75.3
Crooms Academy Of Information Technology,https://www.schooldigger.com/go/FL/schools/0171002533/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,2200 W 13th St,Sanford,https://www.schooldigger.com/go/FL/city/Sanford/search.aspx,32771,Seminole County,(407) 320-5750,9,12,No,No,Yes,No,764,36,21.2,41.20%,12.40%,0.10%,8.90%,30.90%,0.10%,4.10%,43.50%,75.2
Legacy High Charter,https://www.schooldigger.com/go/FL/schools/0144005634/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,1550 E Crown Point Rd,Ocoee,https://www.schooldigger.com/go/FL/city/Ocoee/search.aspx,34761,Orange County,(407) 656-4673,9,12,No,Yes,No,No,192,15,12.8,,15.10%,0.50%,6.80%,20.80%,1.60%,2.60%,52.60%,75.1
Downtown Doral Charter Upper School,https://www.schooldigger.com/go/FL/schools/0039008658/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,7905 NW 53rd St,Doral,https://www.schooldigger.com/go/FL/city/Doral/search.aspx,33166,Miami-Dade County,(305) 513-3013,6,12,No,Yes,No,No,1476,74,19.9,23.20%,0.50%,0.00%,0.70%,95.00%,0.00%,0.00%,3.90%,75.1
Clay Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0030007840/school.aspx,Clay,https://www.schooldigger.com/go/FL/district/00300/search.aspx,2306 Kingsley Ave,Orange Park,https://www.schooldigger.com/go/FL/city/Orange+Park/search.aspx,32073,Clay County,(904) 336-9875,KG,12,No,No,No,Yes,141,24,5.8,23.40%,14.20%,0.70%,0.70%,12.80%,0.00%,4.30%,67.40%,75
River City Science Academy,https://www.schooldigger.com/go/FL/schools/0048007418/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,7565 Beach Blvd,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32216,Duval County,(904) 855-8010,6,12,Yes,Yes,No,No,989,0,,47.00%,15.10%,0.60%,7.80%,20.80%,0.20%,5.90%,49.60%,74.9
Ridgeview Global Studies Academy,https://www.schooldigger.com/go/FL/schools/0159004437/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,1000 Dunson Rd,Davenport,https://www.schooldigger.com/go/FL/city/Davenport/search.aspx,33896,Polk County,(863) 419-3171,KG,12,Yes,Yes,No,No,1573,88,17.8,52.30%,10.40%,0.10%,3.10%,42.40%,0.30%,2.40%,41.30%,74.9
Itech@thomas A Edison Educational Center,https://www.schooldigger.com/go/FL/schools/0039008412/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,6101 NW 2nd Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33127,Miami-Dade County,(305) 762-5000,9,12,Yes,No,Yes,No,253,16,15.8,72.30%,66.40%,0.00%,0.40%,30.40%,0.00%,0.80%,2.00%,74.7
Kirkland Ranch Academy Of Innovation,https://www.schooldigger.com/go/FL/schools/0153009035/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,32555 Innovation Drive,Wesley Chapel,https://www.schooldigger.com/go/FL/city/Wesley+Chapel/search.aspx,33545,Pasco County,(813) 346-2300,9,12,(n/a),No,(n/a),No,697,0,,28.70%,6.30%,0.10%,3.70%,32.30%,0.10%,4.20%,53.20%,74.7
Marjory Stoneman Douglas High School,https://www.schooldigger.com/go/FL/schools/0018002721/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,5901 Pine Island Rd,Parkland,https://www.schooldigger.com/go/FL/city/Parkland/search.aspx,33076,Broward County,(754) 322-2150,9,12,No,No,No,No,3280,133.1,24.6,18.40%,11.10%,0.20%,9.40%,28.50%,0.20%,3.00%,47.60%,74.3
Steinbrenner High School,https://www.schooldigger.com/go/FL/schools/0087006917/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,5575 W Lutz Lake Fern Rd,Lutz,https://www.schooldigger.com/go/FL/city/Lutz/search.aspx,33558,Hillsborough County,(813) 792-5131,9,12,No,No,No,No,2430,99,24.5,20.60%,4.20%,0.20%,8.40%,23.90%,0.00%,5.00%,58.20%,74.3
Escambia Virtual Academy Franchise,https://www.schooldigger.com/go/FL/schools/0051007672/school.aspx,Escambia,https://www.schooldigger.com/go/FL/district/00510/search.aspx,30 E Texar Dr,Pensacola,https://www.schooldigger.com/go/FL/city/Pensacola/search.aspx,32503,Escambia County,(850) 941-6105,KG,12,No,No,No,Yes,153,11,13.9,13.10%,7.20%,1.30%,0.70%,5.90%,0.70%,7.20%,77.10%,74
Niceville Senior High School,https://www.schooldigger.com/go/FL/schools/0138001333/school.aspx,Okaloosa,https://www.schooldigger.com/go/FL/district/01380/search.aspx,800 John Sims Pkwy E,Niceville,https://www.schooldigger.com/go/FL/city/Niceville/search.aspx,32578,Okaloosa County,(850) 833-4114,9,12,No,No,No,No,1998,85.4,23.3,18.10%,4.70%,0.50%,1.60%,8.60%,0.40%,8.30%,76.10%,73.9
Gulf Breeze High School,https://www.schooldigger.com/go/FL/schools/0165001821/school.aspx,Santa Rosa,https://www.schooldigger.com/go/FL/district/01650/search.aspx,675 Gulf Breeze Pkwy,Gulf Breeze,https://www.schooldigger.com/go/FL/city/Gulf+Breeze/search.aspx,32561,Santa Rosa County,(850) 916-4165,9,12,No,No,No,No,1977,78.1,25.2,22.30%,1.80%,0.20%,2.30%,9.70%,0.30%,6.80%,79.00%,73.7
Miami-Dade Online Academy- Virtual Instruction Program,https://www.schooldigger.com/go/FL/schools/0039007580/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,6101 NW 2nd Avenue,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33127,Miami-Dade County,(786) 438-3233,KG,12,No,No,Yes,Yes,171,0,,2.90%,10.50%,0.00%,8.80%,62.00%,0.00%,2.90%,15.80%,73.6
Lawton Chiles High School,https://www.schooldigger.com/go/FL/schools/0111003598/school.aspx,Leon,https://www.schooldigger.com/go/FL/district/01110/search.aspx,7200 Lawton Chiles Ln,Tallahassee,https://www.schooldigger.com/go/FL/city/Tallahassee/search.aspx,32312,Leon County,(850) 488-1756,9,12,No,No,No,No,1928,76.2,25.2,12.70%,8.20%,0.40%,7.80%,8.50%,0.10%,4.80%,70.20%,73.6
Hagerty High School,https://www.schooldigger.com/go/FL/schools/0171005736/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,3225 Lockwood Blvd,Oviedo,https://www.schooldigger.com/go/FL/city/Oviedo/search.aspx,32765,Seminole County,(407) 871-0750,9,12,No,No,No,No,2566,109.2,23.4,22.60%,5.50%,0.00%,6.90%,22.70%,0.70%,4.10%,60.10%,73.6
Venice Senior High School,https://www.schooldigger.com/go/FL/schools/0168001851/school.aspx,Sarasota,https://www.schooldigger.com/go/FL/district/01680/search.aspx,1 Indian Ave,Venice,https://www.schooldigger.com/go/FL/city/Venice/search.aspx,34285,Sarasota County,(941) 488-6726,9,12,No,No,Yes,No,2562,121,21.1,30.90%,1.20%,0.20%,2.90%,13.20%,0.10%,5.80%,76.60%,73
Somerset College Preparatory Academy,https://www.schooldigger.com/go/FL/schools/0177008089/school.aspx,St. Lucie,https://www.schooldigger.com/go/FL/district/01770/search.aspx,725 NW California Blvd,Port Saint Lucie,https://www.schooldigger.com/go/FL/city/Port+Saint+Lucie/search.aspx,34986,St. Lucie County,(772) 343-7028,6,12,No,Yes,No,No,1387,43.6,31.7,40.10%,25.90%,0.20%,1.90%,35.30%,0.10%,3.20%,33.40%,73
