 Number of team members, Deadline in Days, Task complexity, Project type, Skill level, Communication frequency, Number of tasks, Team motivation, Number of stakeholders, Number of meetings, Decision making, Team experience in years, Number of changes, Project duration  in days, Project complexity,Project Completion Time
14,56, Low, Web development, Expert, Daily,4, High,2,1, Fast,6,3,42, Low,52
12,49, High, Mobile app, Advanced, Weekly,10, Medium,4,2, Slow,10,0,37, High,36
5,58, Medium, Desktop app, Beginner, Daily,6, Low,4,0, Moderate,10,0,40, Medium,68
8,43, High, Web development, Expert, Weekly,9, High,2,0, Fast,10,3,46, High,51
12,76, Low, Mobile app, Advanced, Daily,7, Medium,4,2, Slow,10,2,54, Low,64
12,68, High, Desktop app, Beginner, Weekly,9, Low,2,1, Moderate,7,1,44, High,46
8,64, Low, Web development, Expert, Daily,8, High,3,2, Fast,6,1,42, Low,74
14,59, Medium, Mobile app, Advanced, Weekly,12, Medium,3,1, Slow,8,0,31, Medium,33
4,74, Low, Web development, Expert, Daily,10, High,3,0, Fast,7,3,53, Low,34
12,69, High, Mobile app, Advanced, Weekly,10, Medium,2,0, Slow,7,2,52, High,60
14,77, Medium, Desktop app, Beginner, Daily,5, Low,2,2, Moderate,8,1,39, Medium,39
11,60, High, Web development, Expert, Weekly,12, High,4,0, Fast,8,0,56, High,58
5,41, Low, Mobile app, Advanced, Daily,4, Medium,3,0, Slow,8,1,55, Low,64
12,38, High, Desktop app, Beginner, Weekly,10, Low,3,1, Moderate,5,2,34, High,45
14,49, Low, Web development, Expert, Daily,7, High,3,1, Fast,10,1,37, Low,51
6,44, Medium, Mobile app, Advanced, Weekly,10, Medium,4,2, Slow,5,0,34, Medium,69
8,41, Low, Web development, Expert, Daily,14, High,5,1, Fast,5,2,42, Low,55
4,69, Medium, Desktop app, Beginner, Weekly,14, Low,5,0, Moderate,9,2,33, Medium,45
7,36, High, Mobile app, Advanced, Daily,13, Medium,3,0, Slow,10,3,57, High,66
5,51, Low, Web development, Expert, Weekly,4, High,3,0, Fast,10,2,50, Low,45
8,61, Medium, Desktop app, Beginner, Daily,8, Low,2,0, Moderate,10,3,32, Medium,41
7,71, Low, Mobile app, Expert, Weekly,8, High,4,2, Fast,6,0,35, Low,41
12,42, High, Web development, Advanced, Daily,7, Medium,4,1, Slow,7,0,31, High,42
6,55, Medium, Mobile app, Beginner, Weekly,7, Low,4,0, Moderate,6,0,57, Medium,57
11,76, High, Desktop app, Expert, Daily,10, High,3,0, Fast,7,1,42, High,71
13,39, Low, Web development, Advanced, Weekly,14, Medium,2,2, Slow,5,1,42, Low,59
5,80, Medium, Desktop app, Beginner, Daily,10, Low,5,0, Moderate,9,2,30, Medium,50
12,69, High, Web development, Expert, Weekly,12, High,5,2, Fast,10,3,48, High,70
10,73, Low, Web development, Expert, Daily,12, High,5,2, Fast,10,1,30, Low,39
14,40, High, Mobile app, Advanced, Weekly,4, Medium,4,2, Slow,9,1,46, High,74
8,75, Medium, Desktop app, Beginner, Daily,10, Low,5,1, Moderate,6,1,53, Medium,37
9,77, High, Web development, Expert, Weekly,11, High,2,0, Fast,7,2,60, High,74
8,39, Low, Mobile app, Advanced, Daily,8, Medium,3,1, Slow,6,1,30, Low,44
4,55, High, Desktop app, Beginner, Weekly,8, Low,3,0, Moderate,10,0,42, High,71
4,56, Low, Web development, Expert, Daily,12, High,4,2, Fast,5,2,38, Low,67
8,66, Medium, Mobile app, Advanced, Weekly,10, Medium,3,0, Slow,8,0,44, Medium,35
13,59, Low, Web development, Expert, Daily,11, High,4,1, Fast,8,0,49, Low,63
9,32, Medium, Desktop app, Beginner, Weekly,13, Low,3,0, Moderate,8,2,39, Medium,71
13,59, High, Mobile app, Advanced, Daily,14, Medium,3,1, Slow,6,3,52, High,47
12,42, Low, Web development, Expert, Weekly,5, High,3,2, Fast,9,1,47, Low,45
4,76, Medium, Desktop app, Beginner, Daily,7, Low,5,2, Moderate,9,1,43, Medium,57
4,54, Low, Mobile app, Expert, Weekly,13, High,2,1, Fast,10,2,44, Low,41
7,35, High, Web development, Advanced, Daily,10, Medium,3,1, Slow,10,0,50, High,41
5,51, Medium, Mobile app, Beginner, Weekly,4, Low,5,2, Moderate,8,0,57, Medium,70
4,69, High, Desktop app, Expert, Daily,14, High,5,2, Fast,9,2,37, High,58
5,76, Low, Web development, Advanced, Weekly,9, Medium,3,1, Slow,6,2,40, Low,57
14,58, Medium, Desktop app, Beginner, Daily,13, Low,5,2, Moderate,5,2,59, Medium,51
9,66, High, Web development, Expert, Weekly,8, High,4,2, Fast,10,3,55, High,57
9,76, Low, Web development, Expert, Daily,14, High,3,2, Fast,8,2,34, Low,59
13,46, High, Mobile app, Advanced, Weekly,14, Medium,2,0, Slow,6,1,34, High,52
4,30, Medium, Desktop app, Beginner, Daily,6, Low,4,2, Moderate,5,1,45, Medium,64
14,56, High, Web development, Expert, Weekly,7, High,4,1, Fast,10,0,56, High,54
8,30, Low, Mobile app, Advanced, Daily,7, Medium,4,1, Slow,10,1,55, Low,64
6,49, High, Desktop app, Beginner, Weekly,11, Low,4,1, Moderate,8,1,32, High,74
5,47, Low, Web development, Expert, Daily,11, High,2,1, Fast,9,0,40, Low,56
10,67, Medium, Mobile app, Advanced, Weekly,5, Medium,3,1, Slow,6,2,54, Medium,60
11,43, Low, Web development, Expert, Daily,8, High,2,1, Fast,8,3,36, Low,67
13,35, Medium, Desktop app, Beginner, Weekly,13, Low,3,0, Moderate,10,2,37, Medium,73
10,43, High, Mobile app, Advanced, Daily,4, Medium,3,0, Slow,6,2,38, High,46
12,53, Low, Web development, Expert, Weekly,5, High,3,0, Fast,8,0,45, Low,58
12,64, Medium, Desktop app, Beginner, Daily,9, Low,4,0, Moderate,5,2,52, Medium,33
11,67, Low, Mobile app, Expert, Weekly,11, High,3,0, Fast,10,0,56, Low,67
14,72, High, Web development, Advanced, Daily,6, Medium,2,2, Slow,10,2,51, High,55
13,33, Medium, Mobile app, Beginner, Weekly,8, Low,2,1, Moderate,7,3,48, Medium,39
12,44, High, Desktop app, Expert, Daily,14, High,2,1, Fast,10,0,47, High,73
5,63, Low, Web development, Advanced, Weekly,5, Medium,4,1, Slow,10,0,51, Low,65
10,76, Medium, Desktop app, Beginner, Daily,11, Low,3,2, Moderate,8,2,50, Medium,36
4,77, High, Web development, Expert, Weekly,9, High,2,1, Fast,9,0,33, High,49
13,71, Low, Web development, Expert, Daily,4, High,5,1, Fast,7,3,38, Low,47
6,32, High, Mobile app, Advanced, Weekly,9, Medium,3,2, Slow,10,3,57, High,44
8,79, Medium, Desktop app, Beginner, Daily,4, Low,2,1, Moderate,8,1,38, Medium,45
6,74, High, Web development, Expert, Weekly,9, High,2,1, Fast,7,3,33, High,54
7,75, Low, Mobile app, Advanced, Daily,13, Medium,3,1, Slow,7,1,36, Low,46
4,73, High, Desktop app, Beginner, Weekly,12, Low,2,1, Moderate,10,1,42, High,72
10,63, Low, Web development, Expert, Daily,13, High,2,0, Fast,10,0,38, Low,43
10,45, Medium, Mobile app, Advanced, Weekly,7, Medium,2,1, Slow,7,3,54, Medium,47
13,64, Low, Web development, Expert, Daily,11, High,4,2, Fast,8,0,44, Low,33
13,80, Medium, Desktop app, Beginner, Weekly,5, Low,5,0, Moderate,10,0,54, Medium,42
13,78, High, Mobile app, Advanced, Daily,9, Medium,5,1, Slow,7,1,52, High,36
13,65, Low, Web development, Expert, Weekly,13, High,4,0, Fast,6,0,41, Low,74
14,74, Medium, Desktop app, Beginner, Daily,12, Low,5,0, Moderate,5,2,52, Medium,48
12,58, Low, Mobile app, Expert, Weekly,9, High,3,1, Fast,10,2,54, Low,38
5,44, High, Web development, Advanced, Daily,8, Medium,4,1, Slow,10,3,44, High,40
12,35, Medium, Mobile app, Beginner, Weekly,13, Low,4,1, Moderate,8,2,30, Medium,38
12,79, High, Desktop app, Expert, Daily,13, High,3,2, Fast,5,2,58, High,65
11,51, Low, Web development, Advanced, Weekly,9, Medium,5,2, Slow,9,2,51, Low,41
14,50, Medium, Desktop app, Beginner, Daily,9, Low,4,0, Moderate,6,1,54, Medium,67
7,78, High, Web development, Expert, Weekly,6, High,5,2, Fast,9,2,36, High,37
13,47, Low, Web development, Expert, Daily,13, High,5,1, Fast,6,0,42, Low,43
7,44, High, Mobile app, Advanced, Weekly,11, Medium,5,1, Slow,6,1,46, High,55
7,59, Medium, Desktop app, Beginner, Daily,13, Low,3,1, Moderate,9,2,40, Medium,44
14,44, High, Web development, Expert, Weekly,10, High,4,2, Fast,7,0,53, High,43
6,38, Low, Mobile app, Advanced, Daily,7, Medium,3,0, Slow,9,3,47, Low,53
10,55, High, Desktop app, Beginner, Weekly,8, Low,2,2, Moderate,10,0,59, High,34
5,35, Low, Web development, Expert, Daily,12, High,2,0, Fast,6,1,35, Low,43
12,49, Medium, Mobile app, Advanced, Weekly,5, Medium,2,0, Slow,9,0,50, Medium,49
12,68, Low, Web development, Expert, Daily,10, High,5,0, Fast,10,3,42, Low,58
14,63, Medium, Desktop app, Beginner, Weekly,6, Low,5,0, Moderate,8,3,33, Medium,50
14,63, High, Mobile app, Advanced, Daily,11, Medium,3,2, Slow,8,0,55, High,37
12,41, Low, Web development, Expert, Weekly,13, High,4,0, Fast,7,2,56, Low,43
9,77, Medium, Desktop app, Beginner, Daily,4, Low,2,2, Moderate,7,2,51, Medium,40
14,59, Low, Mobile app, Expert, Weekly,12, High,3,2, Fast,7,2,59, Low,34
5,73, High, Web development, Advanced, Daily,4, Medium,3,2, Slow,7,3,34, High,73
10,62, Medium, Mobile app, Beginner, Weekly,5, Low,5,2, Moderate,10,0,42, Medium,53
5,60, High, Desktop app, Expert, Daily,8, High,3,2, Fast,6,0,49, High,41
9,66, Low, Web development, Advanced, Weekly,4, Medium,4,2, Slow,8,0,56, Low,57
8,34, Medium, Desktop app, Beginner, Daily,11, Low,5,0, Moderate,10,3,41, Medium,45
7,60, High, Web development, Expert, Weekly,13, High,3,0, Fast,5,2,59, High,58
10,55, Low, Web development, Expert, Daily,10, High,3,0, Fast,6,3,50, Low,59
10,56, High, Mobile app, Advanced, Weekly,5, Medium,3,1, Slow,8,0,48, High,67
8,31, Medium, Desktop app, Beginner, Daily,4, Low,5,2, Moderate,10,1,35, Medium,54
6,69, High, Web development, Expert, Weekly,11, High,3,1, Fast,6,3,57, High,50
7,42, Low, Mobile app, Advanced, Daily,6, Medium,4,1, Slow,9,2,50, Low,38
11,74, High, Desktop app, Beginner, Weekly,8, Low,4,0, Moderate,8,2,30, High,45
7,78, Low, Web development, Expert, Daily,8, High,3,0, Fast,6,1,41, Low,67
4,45, Medium, Mobile app, Advanced, Weekly,11, Medium,5,0, Slow,8,2,35, Medium,51
7,33, Low, Web development, Expert, Daily,11, High,3,0, Fast,10,3,49, Low,63
9,70, Medium, Desktop app, Beginner, Weekly,12, Low,4,1, Moderate,6,1,55, Medium,62
14,42, High, Mobile app, Advanced, Daily,12, Medium,3,1, Slow,7,3,60, High,44
5,76, Low, Web development, Expert, Weekly,8, High,5,2, Fast,8,0,50, Low,55
11,48, Medium, Desktop app, Beginner, Daily,12, Low,3,0, Moderate,5,0,40, Medium,70
5,79, Low, Mobile app, Expert, Weekly,12, High,3,1, Fast,9,3,36, Low,62
9,62, High, Web development, Advanced, Daily,7, Medium,2,2, Slow,6,2,44, High,40
13,57, Medium, Mobile app, Beginner, Weekly,5, Low,3,2, Moderate,10,0,58, Medium,58
12,63, High, Desktop app, Expert, Daily,10, High,4,2, Fast,9,3,50, High,67
5,77, Low, Web development, Advanced, Weekly,10, Medium,4,0, Slow,6,2,54, Low,63
6,68, Medium, Desktop app, Beginner, Daily,5, Low,3,2, Moderate,5,0,48, Medium,71
5,54, High, Web development, Expert, Weekly,13, High,4,2, Fast,10,1,38, High,50
4,70, Low, Web development, Expert, Daily,9, High,3,2, Fast,5,0,55, Low,66
10,38, High, Mobile app, Advanced, Weekly,4, Medium,2,0, Slow,8,3,51, High,53
13,73, Medium, Desktop app, Beginner, Daily,7, Low,4,0, Moderate,9,2,48, Medium,50
8,38, High, Web development, Expert, Weekly,4, High,3,1, Fast,8,2,47, High,65
14,31, Low, Mobile app, Advanced, Daily,5, Medium,5,2, Slow,5,1,50, Low,45
9,38, High, Desktop app, Beginner, Weekly,8, Low,5,1, Moderate,9,2,40, High,45
9,80, Low, Web development, Expert, Daily,12, High,2,0, Fast,10,0,35, Low,72
8,42, Medium, Mobile app, Advanced, Weekly,7, Medium,5,2, Slow,6,3,57, Medium,62
5,63, Low, Web development, Expert, Daily,4, High,4,1, Fast,8,3,54, Low,69
10,57, Medium, Desktop app, Beginner, Weekly,10, Low,4,1, Moderate,10,2,33, Medium,38
7,52, High, Mobile app, Advanced, Daily,14, Medium,3,2, Slow,5,1,48, High,37
6,52, Low, Web development, Expert, Weekly,5, High,4,2, Fast,8,2,52, Low,48
10,59, Medium, Desktop app, Beginner, Daily,14, Low,5,1, Moderate,8,2,38, Medium,74
5,77, Low, Mobile app, Expert, Weekly,13, High,5,1, Fast,10,0,42, Low,59
12,36, High, Web development, Advanced, Daily,8, Medium,2,1, Slow,9,3,54, High,44
8,49, Medium, Mobile app, Beginner, Weekly,5, Low,5,2, Moderate,5,2,35, Medium,58
8,34, High, Desktop app, Expert, Daily,12, High,2,1, Fast,8,3,58, High,54
9,67, Low, Web development, Advanced, Weekly,13, Medium,2,0, Slow,10,3,41, Low,43
13,47, Medium, Desktop app, Beginner, Daily,4, Low,3,1, Moderate,10,2,50, Medium,32
13,48, High, Web development, Expert, Weekly,12, High,4,2, Fast,9,2,51, High,72
8,74, Low, Web development, Expert, Daily,11, High,2,0, Fast,6,3,41, Low,72
10,35, High, Mobile app, Advanced, Weekly,13, Medium,2,0, Slow,7,3,46, High,66
4,45, Medium, Desktop app, Beginner, Daily,8, Low,2,1, Moderate,6,0,47, Medium,36
14,78, High, Web development, Expert, Weekly,11, High,4,2, Fast,5,2,41, High,40
6,74, Low, Mobile app, Advanced, Daily,8, Medium,2,2, Slow,5,0,58, Low,39
10,58, High, Desktop app, Beginner, Weekly,11, Low,4,1, Moderate,9,2,48, High,58
12,78, Low, Web development, Expert, Daily,10, High,2,0, Fast,9,0,44, Low,54
6,77, Medium, Mobile app, Advanced, Weekly,9, Medium,5,2, Slow,8,1,35, Medium,41
12,34, Low, Web development, Expert, Daily,4, High,3,2, Fast,9,3,45, Low,69
7,71, Medium, Desktop app, Beginner, Weekly,7, Low,2,0, Moderate,10,1,51, Medium,34
10,64, High, Mobile app, Advanced, Daily,9, Medium,4,0, Slow,9,2,34, High,56
10,48, Low, Web development, Expert, Weekly,5, High,2,1, Fast,7,1,55, Low,70
12,51, Medium, Desktop app, Beginner, Daily,7, Low,2,1, Moderate,6,3,40, Medium,66
4,80, Low, Mobile app, Expert, Weekly,5, High,3,2, Fast,9,3,50, Low,74
8,66, High, Web development, Advanced, Daily,9, Medium,3,1, Slow,7,3,34, High,39
8,65, Medium, Mobile app, Beginner, Weekly,9, Low,4,2, Moderate,6,1,39, Medium,53
10,52, High, Desktop app, Expert, Daily,5, High,5,1, Fast,5,1,55, High,32
9,44, Low, Web development, Advanced, Weekly,12, Medium,3,1, Slow,10,1,34, Low,35
4,55, Medium, Desktop app, Beginner, Daily,10, Low,5,2, Moderate,8,0,35, Medium,57
13,77, High, Web development, Expert, Weekly,14, High,4,2, Fast,7,0,46, High,70
5,75, Low, Web development, Expert, Daily,5, High,3,1, Fast,8,3,47, Low,59
6,77, High, Mobile app, Advanced, Weekly,13, Medium,4,0, Slow,10,2,37, High,55
6,76, Medium, Desktop app, Beginner, Daily,11, Low,3,0, Moderate,9,1,31, Medium,41
8,34, High, Web development, Expert, Weekly,10, High,2,2, Fast,6,1,43, High,66
9,71, Low, Mobile app, Advanced, Daily,10, Medium,3,2, Slow,5,3,40, Low,35
6,30, High, Desktop app, Beginner, Weekly,10, Low,2,0, Moderate,6,1,50, High,64
5,40, Low, Web development, Expert, Daily,10, High,4,2, Fast,7,1,49, Low,69
11,51, Medium, Mobile app, Advanced, Weekly,10, Medium,2,0, Slow,7,3,33, Medium,58
14,78, Low, Web development, Expert, Daily,7, High,2,1, Fast,9,0,42, Low,62
11,35, Medium, Desktop app, Beginner, Weekly,14, Low,3,2, Moderate,10,1,40, Medium,74
6,40, High, Mobile app, Advanced, Daily,5, Medium,4,1, Slow,10,3,34, High,74
14,48, Low, Web development, Expert, Weekly,13, High,2,2, Fast,6,3,56, Low,43
5,44, Medium, Desktop app, Beginner, Daily,4, Low,4,1, Moderate,5,3,30, Medium,52
8,74, Low, Mobile app, Expert, Weekly,8, High,2,0, Fast,10,0,52, Low,70
4,61, High, Web development, Advanced, Daily,6, Medium,5,2, Slow,6,2,33, High,73
13,32, Medium, Mobile app, Beginner, Weekly,7, Low,4,0, Moderate,8,2,49, Medium,48
7,80, High, Desktop app, Expert, Daily,5, High,5,1, Fast,8,0,45, High,35
5,51, Low, Web development, Advanced, Weekly,6, Medium,5,0, Slow,8,2,51, Low,62
12,53, Medium, Desktop app, Beginner, Daily,6, Low,4,1, Moderate,6,2,60, Medium,58
8,65, High, Web development, Expert, Weekly,4, High,5,2, Fast,6,3,34, High,61
14,62, Low, Web development, Expert, Daily,13, High,4,0, Fast,10,1,36, Low,49
14,73, High, Mobile app, Advanced, Weekly,6, Medium,5,0, Slow,7,0,51, High,64
4,67, Medium, Desktop app, Beginner, Daily,5, Low,2,0, Moderate,5,1,50, Medium,32
10,76, High, Web development, Expert, Weekly,12, High,3,0, Fast,6,0,44, High,45
13,55, Low, Mobile app, Advanced, Daily,10, Medium,4,1, Slow,8,0,56, Low,39
13,61, High, Desktop app, Beginner, Weekly,6, Low,2,1, Moderate,9,3,32, High,52
11,41, Low, Web development, Expert, Daily,7, High,2,2, Fast,9,3,57, Low,67
13,78, Medium, Mobile app, Advanced, Weekly,12, Medium,3,1, Slow,5,3,55, Medium,56
13,34, Low, Web development, Expert, Daily,7, High,4,0, Fast,8,0,50, Low,33
12,43, Medium, Desktop app, Beginner, Weekly,10, Low,3,2, Moderate,7,3,48, Medium,41
10,39, High, Mobile app, Advanced, Daily,13, Medium,2,1, Slow,8,1,30, High,48
7,36, Low, Web development, Expert, Weekly,10, High,4,1, Fast,7,3,53, Low,44
14,70, Medium, Desktop app, Beginner, Daily,12, Low,3,2, Moderate,9,1,32, Medium,36
7,71, Low, Mobile app, Expert, Weekly,10, High,3,1, Fast,9,3,53, Low,44
11,48, High, Web development, Advanced, Daily,5, Medium,5,2, Slow,9,2,39, High,57
7,40, Medium, Mobile app, Beginner, Weekly,10, Low,5,0, Moderate,5,3,54, Medium,42
14,30, High, Desktop app, Expert, Daily,6, High,5,2, Fast,7,0,31, High,72
11,36, Low, Web development, Advanced, Weekly,7, Medium,2,0, Slow,5,0,34, Low,50
12,32, Medium, Desktop app, Beginner, Daily,12, Low,2,0, Moderate,7,1,46, Medium,46
12,70, High, Web development, Expert, Weekly,11, High,4,1, Fast,7,3,39, High,34
4,71, Medium, Desktop app, Beginner, Weekly,12, Low,5,2, Moderate,5,3,55, Medium,40
5,54, High, Mobile app, Advanced, Daily,11, Medium,2,2, Slow,10,0,51, High,35
6,69, Low, Web development, Expert, Weekly,9, High,2,2, Fast,9,2,45, Low,36
14,73, Medium, Desktop app, Beginner, Daily,6, Low,2,2, Moderate,7,2,40, Medium,64
5,31, Low, Mobile app, Expert, Weekly,12, High,3,1, Fast,7,2,55, Low,62
13,45, High, Web development, Advanced, Daily,13, Medium,5,0, Slow,8,0,45, High,46
9,30, Medium, Mobile app, Beginner, Weekly,11, Low,4,2, Moderate,7,0,40, Medium,42
7,60, High, Desktop app, Expert, Daily,5, High,2,1, Fast,8,1,32, High,58
6,76, Low, Web development, Advanced, Weekly,9, Medium,4,1, Slow,10,1,59, Low,51
7,41, Medium, Desktop app, Beginner, Daily,10, Low,5,0, Moderate,7,1,33, Medium,68
6,78, High, Web development, Expert, Weekly,8, High,2,2, Fast,10,0,31, High,50
14,60, Low, Web development, Expert, Daily,13, High,2,1, Fast,8,3,58, Low,66
5,51, High, Mobile app, Advanced, Weekly,12, Medium,4,1, Slow,8,3,47, High,70
4,79, Medium, Desktop app, Beginner, Daily,4, Low,3,1, Moderate,8,2,32, Medium,51
12,69, High, Web development, Expert, Weekly,9, High,3,2, Fast,10,0,35, High,71
10,70, Low, Mobile app, Advanced, Daily,4, Medium,4,1, Slow,8,3,42, Low,39
9,72, High, Desktop app, Beginner, Weekly,12, Low,5,0, Moderate,7,1,33, High,73
12,60, Low, Web development, Expert, Daily,13, High,2,0, Fast,7,2,40, Low,46
10,59, Medium, Mobile app, Advanced, Weekly,11, Medium,2,1, Slow,6,1,49, Medium,62
9,72, High, Desktop app, Beginner, Weekly,14, Low,2,1, Moderate,8,2,55, High,72
4,68, Low, Web development, Expert, Daily,10, High,4,2, Fast,9,3,58, Low,48
4,51, Medium, Mobile app, Advanced, Weekly,12, Medium,4,0, Slow,6,2,36, Medium,61
4,56, Low, Web development, Expert, Daily,6, High,2,2, Fast,7,2,57, Low,67
14,61, Medium, Desktop app, Beginner, Weekly,14, Low,4,2, Moderate,7,2,58, Medium,67
8,71, High, Mobile app, Advanced, Daily,6, Medium,4,1, Slow,5,0,44, High,65
13,38, Low, Web development, Expert, Weekly,14, High,3,1, Fast,5,3,44, Low,64
9,42, Medium, Desktop app, Beginner, Daily,9, Low,5,2, Moderate,5,2,39, Medium,69
5,64, Low, Mobile app, Expert, Weekly,9, High,4,0, Fast,10,1,39, Low,50
8,53, High, Web development, Advanced, Daily,13, Medium,4,2, Slow,6,0,38, High,58
7,51, Medium, Mobile app, Beginner, Weekly,8, Low,4,0, Moderate,7,2,36, Medium,62
9,60, High, Desktop app, Expert, Daily,13, High,4,1, Fast,6,1,36, High,36
9,57, Low, Web development, Advanced, Weekly,7, Medium,2,0, Slow,9,2,32, Low,55
10,37, Medium, Desktop app, Beginner, Daily,7, Low,5,1, Moderate,10,3,49, Medium,73
11,72, High, Web development, Expert, Weekly,9, High,5,2, Fast,7,1,34, High,40
13,30, Medium, Desktop app, Beginner, Weekly,6, Low,2,1, Moderate,9,2,37, Medium,58
6,78, High, Mobile app, Advanced, Daily,8, Medium,2,2, Slow,9,1,50, High,33
11,53, Low, Web development, Expert, Weekly,11, High,5,2, Fast,9,2,52, Low,74
14,43, Medium, Desktop app, Beginner, Daily,13, Low,3,0, Moderate,8,0,33, Medium,37
5,45, Low, Mobile app, Expert, Weekly,13, High,2,0, Fast,6,1,39, Low,46
5,75, High, Web development, Advanced, Daily,9, Medium,2,1, Slow,9,3,30, High,40
12,32, Medium, Mobile app, Beginner, Weekly,10, Low,5,2, Moderate,8,2,43, Medium,32
14,58, High, Desktop app, Expert, Daily,12, High,2,1, Fast,7,3,59, High,51
11,61, Low, Web development, Advanced, Weekly,4, Medium,2,1, Slow,6,0,37, Low,44
7,39, Medium, Desktop app, Beginner, Daily,13, Low,4,0, Moderate,10,1,31, Medium,35
10,43, High, Web development, Expert, Weekly,13, High,4,0, Fast,8,1,39, High,54
6,63, Low, Web development, Expert, Daily,13, High,2,0, Fast,5,0,35, Low,51
4,30, High, Mobile app, Advanced, Weekly,11, Medium,3,2, Slow,9,3,37, High,45
