Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
267,Tantasqua Regional Vocational,https://www.schooldigger.com/go/MA/schools/1149001901/school.aspx,Tantasqua,https://www.schooldigger.com/go/MA/district/11490/search.aspx,319 Brookfield Rd,Fiskdale,https://www.schooldigger.com/go/MA/city/Fiskdale/search.aspx,1518,Worcester County,(508) 347-3045,9,12,No,No,No,No,521,14.5,35.9,,0.8%,0.0%,0.2%,7.1%,0.2%,3.5%,87.9%,23.8
268,Fenway High School,https://www.schooldigger.com/go/MA/schools/0279000695/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,67 Alleghany St,Roxbury,https://www.schooldigger.com/go/MA/city/Roxbury/search.aspx,2120,Suffolk County,(617) 635-9911,9,12,Yes,No,No,No,384,30.4,12.5,,29.2%,0.3%,3.1%,60.9%,0.0%,2.6%,3.9%,23.5
269,Northeast Metro Regional Vocational,https://www.schooldigger.com/go/MA/schools/0896002283/school.aspx,Northeast Metropolitan Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/08960/search.aspx,100 Hemlock Rd,Wakefield,https://www.schooldigger.com/go/MA/city/Wakefield/search.aspx,1880,Middlesex County,(781) 246-0810,9,12,Yes,No,No,No,1307,110.1,11.8,,4.6%,0.1%,1.4%,37.7%,0.2%,1.1%,54.9%,23.5
270,Roger L. Putnam Vocational Technical Academy,https://www.schooldigger.com/go/MA/schools/1113002293/school.aspx,Springfield,https://www.schooldigger.com/go/MA/district/11130/search.aspx,1300 State Street,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1109,Hampden County,(413) 787-7424,9,12,Yes,No,No,No,1384,129,10.7,,16.3%,0.1%,2.2%,71.5%,0.0%,1.1%,8.9%,23.4
271,Bourne High School,https://www.schooldigger.com/go/MA/schools/0282000348/school.aspx,Bourne,https://www.schooldigger.com/go/MA/district/02820/search.aspx,75 Waterhouse Rd,Bourne,https://www.schooldigger.com/go/MA/city/Bourne/search.aspx,2532,Barnstable County,(508) 759-0670,9,12,No,No,No,No,393,36.5,10.7,,1.3%,1.5%,2.3%,3.6%,0.0%,4.3%,87.0%,23.2
272,Doherty Memorial High,https://www.schooldigger.com/go/MA/schools/1323002209/school.aspx,Worcester,https://www.schooldigger.com/go/MA/district/13230/search.aspx,299 Highland Street,Worcester,https://www.schooldigger.com/go/MA/city/Worcester/search.aspx,1602,Worcester County,(508) 799-3270,9,12,Yes,No,No,No,1331,104.7,12.7,,14.7%,0.3%,5.9%,37.6%,0.0%,4.7%,36.8%,22.8
273,Westfield Technical Academy,https://www.schooldigger.com/go/MA/schools/1263002074/school.aspx,Westfield,https://www.schooldigger.com/go/MA/district/12630/search.aspx,33 Smith Avenue,Westfield,https://www.schooldigger.com/go/MA/city/Westfield/search.aspx,1085,Hampden County,(413) 572-6533,9,12,Yes,No,No,No,541,60.5,8.9,,0.4%,0.2%,1.5%,13.3%,0.0%,1.7%,83.0%,21.5
274,Boston Preparatory Charter Public School,https://www.schooldigger.com/go/MA/schools/0008001843/school.aspx,Boston Preparatory Charter Public (District),https://www.schooldigger.com/go/MA/district/00080/search.aspx,885 River Street,Hyde Park,https://www.schooldigger.com/go/MA/city/Hyde+Park/search.aspx,2136,Suffolk County,(617) 333-6688,6,12,Yes,Yes,No,No,696,68.8,10.1,,66.4%,0.0%,0.4%,28.7%,0.1%,3.2%,1.1%,21.1
275,Marlborough High,https://www.schooldigger.com/go/MA/schools/0732001133/school.aspx,Marlborough,https://www.schooldigger.com/go/MA/district/07320/search.aspx,431 Bolton Street,Marlborough,https://www.schooldigger.com/go/MA/city/Marlborough/search.aspx,1752,Middlesex County,(508) 460-3500,9,12,No,No,No,No,1022,94.4,10.8,,3.4%,0.0%,0.9%,59.5%,0.0%,3.3%,32.9%,21
276,Chicopee High,https://www.schooldigger.com/go/MA/schools/0366000496/school.aspx,Chicopee,https://www.schooldigger.com/go/MA/district/03660/search.aspx,820 Front Street,Chicopee,https://www.schooldigger.com/go/MA/city/Chicopee/search.aspx,1020,Hampden County,(413) 594-3437,9,12,No,No,No,No,925,78.2,11.8,,4.5%,0.0%,2.5%,48.9%,0.0%,3.2%,40.8%,21
277,Greenfield Commonwealth Virtual School,https://www.schooldigger.com/go/MA/schools/0055102808/school.aspx,Greater Commonwealth Virtual District,https://www.schooldigger.com/go/MA/district/00551/search.aspx,238 Main St.,Greenfield,https://www.schooldigger.com/go/MA/city/Greenfield/search.aspx,1301,Franklin County,(413) 475-3879,KG,12,Yes,No,No,Yes,1030,66.6,15.4,,7.3%,0.2%,5.6%,20.5%,0.3%,7.7%,57.9%,20.4
278,Argosy Collegiate Charter School,https://www.schooldigger.com/go/MA/schools/0055202827/school.aspx,Argosy Collegiate Charter School (District),https://www.schooldigger.com/go/MA/district/00552/search.aspx,263 Hamlet Street,Fall River,https://www.schooldigger.com/go/MA/city/Fall+River/search.aspx,2724,Bristol County,(508) 567-4725,6,12,Yes,Yes,No,No,566,43.9,12.8,,13.6%,0.5%,1.9%,26.7%,0.0%,5.7%,51.6%,20.2
279,New Mission High School,https://www.schooldigger.com/go/MA/schools/0279000704/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,655 Metropolitan Ave,Hyde Park,https://www.schooldigger.com/go/MA/city/Hyde+Park/search.aspx,2136,Suffolk County,(617) 635-6437,7,12,Yes,No,No,No,543,42.1,12.8,,51.0%,0.2%,2.2%,40.5%,0.2%,2.4%,3.5%,20
280,The Springfield Renaissance School an Expeditionary Learning,https://www.schooldigger.com/go/MA/schools/1113002137/school.aspx,Springfield,https://www.schooldigger.com/go/MA/district/11130/search.aspx,1170 Carew Street,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1104,Hampden County,(413) 750-2929,6,12,Yes,No,No,No,608,51.1,11.8,,22.0%,0.0%,1.3%,60.5%,0.0%,1.5%,14.5%,19
281,Salem High,https://www.schooldigger.com/go/MA/schools/1038001664/school.aspx,Salem,https://www.schooldigger.com/go/MA/district/10380/search.aspx,77 Willson Street,Salem,https://www.schooldigger.com/go/MA/city/Salem/search.aspx,1970,Essex County,(978) 740-1123,9,12,No,No,No,No,803,98.8,8.1,,6.2%,0.1%,2.9%,48.1%,0.0%,4.4%,38.1%,18.9
282,Drury High,https://www.schooldigger.com/go/MA/schools/0867001387/school.aspx,North Adams,https://www.schooldigger.com/go/MA/district/08670/search.aspx,1130 South Church Street,North Adams,https://www.schooldigger.com/go/MA/city/North+Adams/search.aspx,1247,Berkshire County,(413) 662-3240,7,12,No,No,No,No,514,44.3,11.5,,2.3%,0.4%,0.8%,5.4%,0.4%,8.6%,82.1%,18.1
283,Ware Junior/Senior High School,https://www.schooldigger.com/go/MA/schools/1203001983/school.aspx,Ware,https://www.schooldigger.com/go/MA/district/12030/search.aspx,237 West Street,Ware,https://www.schooldigger.com/go/MA/city/Ware/search.aspx,1082,Hampshire County,(413) 967-6234,7,12,No,No,No,No,496,40.1,12.3,,2.2%,0.4%,0.2%,9.5%,0.4%,5.2%,82.1%,17.4
284,Lynn Vocational Technical Institute,https://www.schooldigger.com/go/MA/schools/0711002277/school.aspx,Lynn,https://www.schooldigger.com/go/MA/district/07110/search.aspx,80 Neptune Blvd,Lynn,https://www.schooldigger.com/go/MA/city/Lynn/search.aspx,1902,Essex County,(781) 477-7431,1,12,Yes,No,No,No,1482,117.5,12.6,,6.7%,0.4%,5.2%,71.5%,0.0%,2.8%,13.1%,17.1
285,MATCH Charter Public School,https://www.schooldigger.com/go/MA/schools/0006601586/school.aspx,MATCH Charter Public School (District),https://www.schooldigger.com/go/MA/district/00066/search.aspx,1001 Commonwealth Avenue,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2215,Suffolk County,(617) 232-0300,PK,12,Yes,Yes,No,No,1225,124.5,9.8,,47.5%,0.2%,0.7%,47.6%,0.2%,2.4%,1.4%,16.6
286,Pathfinder Vocational Technical,https://www.schooldigger.com/go/MA/schools/0931002285/school.aspx,Pathfinder Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/09310/search.aspx,240 Sykes Street,Palmer,https://www.schooldigger.com/go/MA/city/Palmer/search.aspx,1069,Hampden County,(413) 283-9701,9,12,Yes,No,No,No,629,69.9,8.9,,1.7%,0.2%,0.0%,7.9%,0.0%,4.1%,85.4%,16.4
287,B M C Durfee High,https://www.schooldigger.com/go/MA/schools/0483000649/school.aspx,Fall River,https://www.schooldigger.com/go/MA/district/04830/search.aspx,360 Elsbree Street,Fall River,https://www.schooldigger.com/go/MA/city/Fall+River/search.aspx,2720,Bristol County,(508) 675-8100,9,12,No,No,No,No,2347,177.1,13.2,,10.1%,0.2%,4.6%,28.7%,0.0%,6.5%,49.9%,16.4
288,Chelsea High,https://www.schooldigger.com/go/MA/schools/0354000482/school.aspx,Chelsea,https://www.schooldigger.com/go/MA/district/03540/search.aspx,299 Everett Avenue,Chelsea,https://www.schooldigger.com/go/MA/city/Chelsea/search.aspx,2150,Suffolk County,(617) 466-5000,9,12,Yes,No,No,No,1498,118.7,12.6,,3.4%,0.2%,1.1%,89.8%,0.0%,0.5%,4.9%,16.3
289,East Boston High,https://www.schooldigger.com/go/MA/schools/0279000226/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,86 White Street,East Boston,https://www.schooldigger.com/go/MA/city/East+Boston/search.aspx,2128,Suffolk County,(617) 635-9896,7,12,Yes,No,No,No,1111,91.1,12.1,,5.4%,0.0%,1.6%,81.5%,0.1%,0.9%,10.5%,15.7
290,Clinton Senior High,https://www.schooldigger.com/go/MA/schools/0375000513/school.aspx,Clinton,https://www.schooldigger.com/go/MA/district/03750/search.aspx,200 West Boylston Street,Clinton,https://www.schooldigger.com/go/MA/city/Clinton/search.aspx,1510,Worcester County,(978) 365-4208,9,12,No,No,No,No,510,42,12.1,,3.9%,0.0%,1.0%,34.1%,0.2%,1.0%,59.4%,15.5
291,Brockton High,https://www.schooldigger.com/go/MA/schools/0309000385/school.aspx,Brockton,https://www.schooldigger.com/go/MA/district/03090/search.aspx,470 Forest Avenue,Brockton,https://www.schooldigger.com/go/MA/city/Brockton/search.aspx,2301,Plymouth County,(508) 580-7633,9,12,No,No,No,No,3943,260.2,15.1,,61.9%,0.1%,2.4%,16.9%,0.3%,4.2%,14.3%,15.1
292,Quincy Upper School,https://www.schooldigger.com/go/MA/schools/0279001296/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,152 Arlington Street,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2116,Suffolk County,(617) 635-8940,6,12,Yes,No,No,No,553,41.9,13.1,,19.5%,0.2%,52.3%,21.0%,0.0%,2.9%,4.2%,14.9
293,Sizer School: A North Central Charter Essential School,https://www.schooldigger.com/go/MA/schools/0007301750/school.aspx,Sizer School: A North Central Charter Essential (District),https://www.schooldigger.com/go/MA/district/00073/search.aspx,500 Rindge Road,Fitchburg,https://www.schooldigger.com/go/MA/city/Fitchburg/search.aspx,1420,Worcester County,(978) 345-2701,7,12,Yes,Yes,No,No,350,40.4,8.6,,8.9%,0.6%,2.0%,23.7%,0.0%,3.1%,60.9%,14.8
294,Taconic High,https://www.schooldigger.com/go/MA/schools/0963001534/school.aspx,Pittsfield,https://www.schooldigger.com/go/MA/district/09630/search.aspx,96 Valentine Road,Pittsfield,https://www.schooldigger.com/go/MA/city/Pittsfield/search.aspx,1201,Berkshire County,(413) 448-9600,9,12,No,No,No,No,832,83.5,9.9,,13.1%,0.2%,0.8%,13.3%,0.0%,8.8%,63.5%,14.6
295,North Brookfield High,https://www.schooldigger.com/go/MA/schools/0876001411/school.aspx,North Brookfield,https://www.schooldigger.com/go/MA/district/08760/search.aspx,10 New School Drive,North Brookfield,https://www.schooldigger.com/go/MA/city/North+Brookfield/search.aspx,1535,Worcester County,(508) 867-7131,7,12,No,No,No,No,169,17.6,9.5,,2.4%,0.0%,0.0%,11.2%,0.0%,3.0%,83.4%,14.5
296,Murdock High School,https://www.schooldigger.com/go/MA/schools/1308002786/school.aspx,Winchendon,https://www.schooldigger.com/go/MA/district/13080/search.aspx,3 Memorial Drive,Winchendon,https://www.schooldigger.com/go/MA/city/Winchendon/search.aspx,1475,Worcester County,(978) 297-1256,9,12,Yes,No,No,No,265,23.5,11.2,,2.3%,0.4%,3.8%,7.5%,0.4%,3.0%,82.3%,14.5
297,South High Community,https://www.schooldigger.com/go/MA/schools/1323002244/school.aspx,Worcester,https://www.schooldigger.com/go/MA/district/13230/search.aspx,170 Apricot Street,Worcester,https://www.schooldigger.com/go/MA/city/Worcester/search.aspx,1603,Worcester County,(508) 799-3325,9,12,Yes,No,No,No,1524,110.6,13.7,,16.8%,0.1%,10.4%,46.2%,0.0%,3.3%,23.1%,14.3
298,Edward M. Kennedy Academy for Health Careers (Horace Mann,https://www.schooldigger.com/go/MA/schools/0005401258/school.aspx,Edward M. Kennedy Academy for Health Careers (Horace Mann Ch,https://www.schooldigger.com/go/MA/district/00054/search.aspx,360 Huntington Avenue,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2115,Suffolk County,(617) 373-8576,9,12,Yes,Yes,No,No,395,34.1,11.5,,36.7%,0.3%,1.0%,55.2%,0.0%,2.5%,4.3%,14
299,Everett High,https://www.schooldigger.com/go/MA/schools/0477000634/school.aspx,Everett,https://www.schooldigger.com/go/MA/district/04770/search.aspx,100 Elm Street,Everett,https://www.schooldigger.com/go/MA/city/Everett/search.aspx,2149,Middlesex County,(617) 394-2490,9,12,No,No,No,No,2091,158.8,13.1,,16.8%,0.6%,5.2%,57.4%,0.0%,1.7%,18.3%,12.9
300,Claremont Academy,https://www.schooldigger.com/go/MA/schools/1323002121/school.aspx,Worcester,https://www.schooldigger.com/go/MA/district/13230/search.aspx,15 Claremont Street,Worcester,https://www.schooldigger.com/go/MA/city/Worcester/search.aspx,1610,Worcester County,(508) 799-3077,7,12,Yes,No,No,No,527,39.7,13.2,,10.2%,0.2%,7.8%,73.1%,0.0%,1.5%,7.2%,11.8
301,New Heights Charter School of Brockton,https://www.schooldigger.com/go/MA/schools/0055902869/school.aspx,New Heights Charter School of Brockton (District),https://www.schooldigger.com/go/MA/district/00559/search.aspx,1690 Main Street,Brockton,https://www.schooldigger.com/go/MA/city/Brockton/search.aspx,2301,Plymouth County,(508) 857-4633,6,12,Yes,Yes,No,No,744,54,13.7,,88.8%,0.1%,0.5%,6.6%,0.1%,2.2%,1.6%,11.2
302,High School Of Commerce,https://www.schooldigger.com/go/MA/schools/1113001806/school.aspx,Springfield,https://www.schooldigger.com/go/MA/district/11130/search.aspx,415 State Street,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1105,Hampden County,(413) 787-7220,9,12,Yes,No,No,No,1282,126.1,10.1,,18.3%,0.1%,1.2%,71.1%,0.2%,1.6%,7.3%,11.1
303,Burncoat Senior High,https://www.schooldigger.com/go/MA/schools/1323002200/school.aspx,Worcester,https://www.schooldigger.com/go/MA/district/13230/search.aspx,179 Burncoat Street,Worcester,https://www.schooldigger.com/go/MA/city/Worcester/search.aspx,1606,Worcester County,(508) 799-3300,9,12,Yes,No,No,No,1176,88.1,13.3,,17.8%,0.2%,4.1%,45.1%,0.0%,4.5%,28.4%,10.7
304,Fitchburg High,https://www.schooldigger.com/go/MA/schools/0489000697/school.aspx,Fitchburg,https://www.schooldigger.com/go/MA/district/04890/search.aspx,140 Arn-How Farm Rd,Fitchburg,https://www.schooldigger.com/go/MA/city/Fitchburg/search.aspx,1420,Worcester County,(978) 345-3240,9,12,Yes,No,No,No,1293,87.3,14.8,,7.5%,0.0%,6.1%,56.0%,0.0%,6.7%,23.7%,10.3
305,Wareham Senior High,https://www.schooldigger.com/go/MA/schools/1206001991/school.aspx,Wareham,https://www.schooldigger.com/go/MA/district/12060/search.aspx,7 Viking Drive,Wareham,https://www.schooldigger.com/go/MA/city/Wareham/search.aspx,2571,Plymouth County,(508) 291-3510,8,12,No,No,No,No,618,61.1,10.1,,9.1%,1.6%,0.6%,7.0%,0.0%,12.8%,68.4%,9.2
306,Springfield Central High,https://www.schooldigger.com/go/MA/schools/1113002444/school.aspx,Springfield,https://www.schooldigger.com/go/MA/district/11130/search.aspx,1840 Roosevelt Avenue,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1109,Hampden County,(413) 787-7085,9,12,Yes,No,No,No,2082,159.7,13,,21.1%,0.1%,3.6%,64.4%,0.0%,2.2%,8.6%,8.4
307,Charlestown High,https://www.schooldigger.com/go/MA/schools/0279000215/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,240 Medford Street,Charlestown,https://www.schooldigger.com/go/MA/city/Charlestown/search.aspx,2129,Suffolk County,(617) 635-9914,7,12,Yes,No,No,No,821,84.3,9.7,,26.7%,0.1%,6.1%,60.3%,0.0%,2.2%,4.6%,8.2
308,Atlantis Charter School,https://www.schooldigger.com/go/MA/schools/0004100601/school.aspx,Atlantis Charter (District),https://www.schooldigger.com/go/MA/district/00041/search.aspx,991 Jefferson St,Fall River,https://www.schooldigger.com/go/MA/city/Fall+River/search.aspx,2721,Bristol County,(508) 646-6410,KG,12,Yes,Yes,No,No,1277,99.4,12.8,,6.2%,0.1%,2.0%,15.5%,0.1%,4.4%,71.7%,8
309,Classical High,https://www.schooldigger.com/go/MA/schools/0711001067/school.aspx,Lynn,https://www.schooldigger.com/go/MA/district/07110/search.aspx,235 O Callaghan Way,Lynn,https://www.schooldigger.com/go/MA/city/Lynn/search.aspx,1905,Essex County,(781) 477-7404,9,12,Yes,No,No,No,1823,102.7,17.7,,7.5%,0.4%,8.3%,65.8%,0.0%,3.2%,14.8%,8
310,Baystate Academy Charter Public School,https://www.schooldigger.com/go/MA/schools/0055002784/school.aspx,Baystate Academy Charter Public School (District),https://www.schooldigger.com/go/MA/district/00550/search.aspx,2001 Roosevelt Avenue,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1104,Hampden County,(413) 366-5100,6,12,Yes,Yes,No,No,456,53,8.6,,29.8%,0.0%,0.7%,63.6%,0.4%,0.9%,4.6%,7.7
311,Another Course To College,https://www.schooldigger.com/go/MA/schools/0279000698/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,612 Metropolitan Av,Hyde Park,https://www.schooldigger.com/go/MA/city/Hyde+Park/search.aspx,2136,Suffolk County,(617) 635-8865,9,12,Yes,No,No,No,231,24.7,9.3,,49.8%,0.0%,0.0%,46.3%,0.0%,0.9%,2.6%,7.6
312,Roxbury Preparatory Charter School,https://www.schooldigger.com/go/MA/schools/0006301453/school.aspx,Roxbury Preparatory Charter (District),https://www.schooldigger.com/go/MA/district/00063/search.aspx,120 Fisher Avenue,Roxbury,https://www.schooldigger.com/go/MA/city/Roxbury/search.aspx,2120,Suffolk County,(617) 566-2361,5,12,Yes,Yes,No,No,1521,102.5,14.8,,56.3%,0.2%,0.7%,40.6%,0.1%,1.2%,1.1%,7.6
313,Lawrence High School,https://www.schooldigger.com/go/MA/schools/0666002856/school.aspx,Lawrence,https://www.schooldigger.com/go/MA/district/06660/search.aspx,70-71 North Parish Road,Lawrence,https://www.schooldigger.com/go/MA/city/Lawrence/search.aspx,1843,Essex County,(978) 975-2750,9,12,Yes,No,No,No,3097,239.7,12.9,,1.5%,0.0%,1.5%,93.6%,0.0%,0.4%,2.6%,7.5
314,Lynn English High,https://www.schooldigger.com/go/MA/schools/0711001080/school.aspx,Lynn,https://www.schooldigger.com/go/MA/district/07110/search.aspx,50 Goodridge Street,Lynn,https://www.schooldigger.com/go/MA/city/Lynn/search.aspx,1902,Essex County,(781) 477-7366,9,12,Yes,No,No,No,2165,123.1,17.5,,8.6%,0.3%,7.5%,72.5%,0.0%,2.4%,8.3%,7.5
315,TechBoston Academy,https://www.schooldigger.com/go/MA/schools/0279002725/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,9 Peacevale Road,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2124,Suffolk County,(617) 635-1615,6,12,Yes,No,No,No,888,79.7,11.1,,58.2%,0.1%,1.6%,32.7%,0.2%,4.6%,2.5%,7.1
316,Jeremiah E Burke High,https://www.schooldigger.com/go/MA/schools/0279000261/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,60 Washington Street,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2121,Suffolk County,(617) 635-9837,9,12,Yes,No,No,No,330,29.6,11.1,,54.2%,0.3%,0.9%,37.0%,0.6%,2.1%,4.5%,6.9
317,Codman Academy Charter Public School,https://www.schooldigger.com/go/MA/schools/0007001667/school.aspx,Codman Academy Charter Public (District),https://www.schooldigger.com/go/MA/district/00070/search.aspx,637 Washington Street,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2124,Suffolk County,(617) 287-0700,PK,12,Yes,Yes,No,No,343,44.6,7.6,,74.9%,0.0%,0.0%,23.6%,0.0%,1.2%,0.3%,6.8
318,Boston International High School,https://www.schooldigger.com/go/MA/schools/0279002015/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,100 Maxwell St,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2124,Suffolk County,(617) 635-9373,9,12,Yes,No,No,No,421,50.1,8.3,,31.1%,0.2%,6.9%,59.1%,0.2%,0.5%,1.9%,6.8
319,Academy Of the Pacific Rim Charter Public School,https://www.schooldigger.com/go/MA/schools/0002100511/school.aspx,Academy Of the Pacific Rim Charter Public (District),https://www.schooldigger.com/go/MA/district/00021/search.aspx,1 Westinghouse Plaza,Hyde Park,https://www.schooldigger.com/go/MA/city/Hyde+Park/search.aspx,2136,Suffolk County,(617) 361-0050,5,12,Yes,Yes,No,No,510,60.5,8.4,,61.0%,0.0%,0.4%,30.0%,0.2%,1.6%,6.9%,6.6
320,Holyoke High,https://www.schooldigger.com/go/MA/schools/0627000900/school.aspx,Holyoke,https://www.schooldigger.com/go/MA/district/06270/search.aspx,500 Beech Street,Holyoke,https://www.schooldigger.com/go/MA/city/Holyoke/search.aspx,1040,Hampden County,(413) 534-2020,9,12,Yes,No,No,No,1508,132,11.4,,3.4%,0.1%,0.5%,80.0%,0.1%,1.1%,14.4%,6.4
321,Dr. William Henderson Upper,https://www.schooldigger.com/go/MA/schools/0279000952/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,18 Croftland Av,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2124,Suffolk County,(617) 635-6365,2,12,Yes,No,No,No,718,77.6,9.2,,44.0%,0.7%,7.7%,26.2%,0.3%,4.0%,16.9%,5.9
322,Southbridge High School,https://www.schooldigger.com/go/MA/schools/1101002868/school.aspx,Southbridge,https://www.schooldigger.com/go/MA/district/11010/search.aspx,132 Torrey Road,Southbridge,https://www.schooldigger.com/go/MA/city/Southbridge/search.aspx,1550,Worcester County,(508) 764-5450,9,12,Yes,No,No,No,443,32.6,13.5,,2.9%,0.0%,1.6%,65.5%,0.2%,1.1%,28.7%,5.7
323,Boston Green Academy Horace Mann Charter School,https://www.schooldigger.com/go/MA/schools/0052602703/school.aspx,Boston Green Academy Horace Mann Charter School (District),https://www.schooldigger.com/go/MA/district/00526/search.aspx,20 Warren St.,Brighton,https://www.schooldigger.com/go/MA/city/Brighton/search.aspx,2135,Suffolk County,(617) 635-9860,6,12,Yes,Yes,No,No,486,44.6,10.8,,43.8%,0.4%,1.9%,44.4%,0.4%,2.7%,6.4%,5.6
324,Excel High School,https://www.schooldigger.com/go/MA/schools/0279002016/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,95 G. Street,South Boston,https://www.schooldigger.com/go/MA/city/South+Boston/search.aspx,2127,Suffolk County,(617) 635-9870,9,12,Yes,No,No,No,439,42.5,10.3,,29.8%,0.5%,14.8%,42.4%,0.2%,3.2%,8.7%,5.4
325,Bartlett High School,https://www.schooldigger.com/go/MA/schools/1224002012/school.aspx,Webster,https://www.schooldigger.com/go/MA/district/12240/search.aspx,52 Lake Parkway,Webster,https://www.schooldigger.com/go/MA/city/Webster/search.aspx,1570,Worcester County,(508) 943-8552,9,12,Yes,No,No,No,403,38.6,10.4,,7.9%,0.2%,2.7%,35.5%,0.2%,6.7%,46.7%,4.9
326,New Bedford High,https://www.schooldigger.com/go/MA/schools/0843001336/school.aspx,New Bedford,https://www.schooldigger.com/go/MA/district/08430/search.aspx,230 Hathaway Blvd,New Bedford,https://www.schooldigger.com/go/MA/city/New+Bedford/search.aspx,2740,Bristol County,(508) 997-4511,9,12,Yes,No,No,No,2890,191,15.1,,15.0%,0.6%,0.7%,44.9%,0.1%,5.2%,33.5%,4.8
327,Community Academy of Science and Health,https://www.schooldigger.com/go/MA/schools/0279001902/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,11 Charles Street,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2122,Suffolk County,(617) 635-8950,9,12,Yes,No,No,No,331,35.4,9.3,,54.7%,0.3%,5.7%,33.2%,0.0%,4.8%,1.2%,4.4
328,North High,https://www.schooldigger.com/go/MA/schools/1323002239/school.aspx,Worcester,https://www.schooldigger.com/go/MA/district/13230/search.aspx,140 Harrington Way,Worcester,https://www.schooldigger.com/go/MA/city/Worcester/search.aspx,1604,Worcester County,(508) 799-3370,9,12,Yes,No,No,No,1308,88.9,14.7,,18.7%,0.0%,4.2%,54.8%,0.0%,3.5%,18.7%,3.9
329,Lyon Upper 9-12,https://www.schooldigger.com/go/MA/schools/0279002674/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,95 Beechcroft Street,Brighton,https://www.schooldigger.com/go/MA/city/Brighton/search.aspx,2135,Suffolk County,(617) 635-8351,9,12,Yes,No,No,No,129,16.1,8,,21.7%,0.0%,4.7%,45.7%,0.0%,7.8%,20.2%,3.9
330,Springfield High School of Science and Technology,https://www.schooldigger.com/go/MA/schools/1113000901/school.aspx,Springfield,https://www.schooldigger.com/go/MA/district/11130/search.aspx,1250 State Street,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1109,Hampden County,(413) 750-2000,9,12,Yes,No,No,No,1099,93.8,11.7,,18.1%,0.1%,1.6%,70.2%,0.2%,1.4%,8.4%,3.8
331,Boston Community Leadership Academy,https://www.schooldigger.com/go/MA/schools/0279001692/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,655 Metropolitan Ave,Hyde Park,https://www.schooldigger.com/go/MA/city/Hyde+Park/search.aspx,2136,Suffolk County,(617) 635-8937,7,12,Yes,No,No,No,663,65.9,10,,33.9%,0.3%,3.0%,58.7%,0.3%,1.5%,2.3%,3.3
332,Dearborn,https://www.schooldigger.com/go/MA/schools/0279000222/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,36 Winthrop St,Roxbury,https://www.schooldigger.com/go/MA/city/Roxbury/search.aspx,2119,Suffolk County,(617) 635-8412,6,12,Yes,No,No,No,578,51.9,11.1,,58.7%,0.2%,1.0%,33.2%,0.9%,3.8%,1.9%,3.2
