School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent of  Unemployment,Percent Parents with Masters and above education,Percent parents with less than High School education,Percent Home Incomes with less than Median income,Home Prices Ranking,Community Health Ranking,Standard Score
Marietta High School,https://www.schooldigger.com/go/OK/schools/1899000900/school.aspx,Marietta,https://www.schooldigger.com/go/OK/district/18990/search.aspx,408 Indian Way,Marietta,https://www.schooldigger.com/go/OK/city/Marietta/search.aspx,73448,Love County,(580) 276-3204,9,12,No,No,(n/a),No,316,19.7,15.9,81,1.6,7,0,44.9,0,8.2,38.3,15.9
Ketchum High School,https://www.schooldigger.com/go/OK/schools/1638000761/school.aspx,Ketchum,https://www.schooldigger.com/go/OK/district/16380/search.aspx,5th and Sexton Ave,Ketchum,https://www.schooldigger.com/go/OK/city/Ketchum/search.aspx,74349,Craig County,(918) 782-5091,9,12,No,No,(n/a),No,178,15.4,11.5,50,0.6,43.8,0.6,3.4,0,4.5,47.2,15.7
Westville High School,https://www.schooldigger.com/go/OK/schools/3240029611/school.aspx,Westville,https://www.schooldigger.com/go/OK/district/32400/search.aspx,500 W Chincapin,Westville,https://www.schooldigger.com/go/OK/city/Westville/search.aspx,74965,Adair County,(918) 723-5644,9,12,Yes,No,(n/a),No,340,26.7,12.7,99.4,0.3,47.4,2.9,7.4,0,10.3,31.8,15.3
Stilwell High School,https://www.schooldigger.com/go/OK/schools/2871001512/school.aspx,Stilwell,https://www.schooldigger.com/go/OK/district/28710/search.aspx,1801 West Locust Street,Stilwell,https://www.schooldigger.com/go/OK/city/Stilwell/search.aspx,74960,Adair County,(918) 696-7276,9,12,Yes,No,(n/a),No,657,38.8,16.8,90.9,0.2,67.9,0.8,12.5,0,3.5,15.2,14.8
Moss High School,https://www.schooldigger.com/go/OK/schools/2046001014/school.aspx,Moss,https://www.schooldigger.com/go/OK/district/20460/search.aspx,8087 East 134 Road,Holdenville,https://www.schooldigger.com/go/OK/city/Holdenville/search.aspx,74848,Hughes County,(405) 379-7251,9,12,No,No,(n/a),No,76,5.6,13.4,48.7,0,19.7,0,1.3,0,18.4,60.5,14.7
Porter Consolidated High School,https://www.schooldigger.com/go/OK/schools/3019701305/school.aspx,Porter Consolidated,https://www.schooldigger.com/go/OK/district/30197/search.aspx,125 North Main,Porter,https://www.schooldigger.com/go/OK/city/Porter/search.aspx,74454,Wagoner County,(918) 483-7011,9,12,Yes,No,(n/a),No,156,11.2,13.8,56.4,9.6,26.3,0,3.8,0,18.6,41.7,13.7
Pawhuska High School,https://www.schooldigger.com/go/OK/schools/2358001252/school.aspx,Pawhuska,https://www.schooldigger.com/go/OK/district/23580/search.aspx,621 East 15th Street,Pawhuska,https://www.schooldigger.com/go/OK/city/Pawhuska/search.aspx,74056,Osage County,(918) 287-1266,9,12,No,No,(n/a),No,210,15,13.9,69,5.2,33.3,0,5.7,0,21.9,33.8,13.2
Valliant High School,https://www.schooldigger.com/go/OK/schools/3087029700/school.aspx,Valliant,https://www.schooldigger.com/go/OK/district/30870/search.aspx,604 East Lucas Street,Valliant,https://www.schooldigger.com/go/OK/city/Valliant/search.aspx,74764,McCurtain County,(580) 933-7292,9,12,Yes,No,(n/a),No,254,22,11.5,70.9,5.5,15.7,0.4,0.4,0,20.5,57.5,13.1
Insight School Of Oklahoma High School,https://www.schooldigger.com/go/OK/schools/0078502792/school.aspx,Insight School Of Oklahoma,https://www.schooldigger.com/go/OK/district/00785/search.aspx,1156 S Douglas Blvd,Midwest City,https://www.schooldigger.com/go/OK/city/Midwest+City/search.aspx,73130,Oklahoma County,(405) 835-2133,9,12,Yes,Yes,(n/a),Yes,635,20.9,30.3,67.6,6.6,5.4,0.3,17.5,0.2,14.5,55.6,13
Traice,https://www.schooldigger.com/go/OK/schools/3024002663/school.aspx,Tulsa,https://www.schooldigger.com/go/OK/district/30240/search.aspx,2740 East 41st Street North,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74110,Tulsa County,(918) 925-1360,9,12,Yes,No,(n/a),No,451,39.2,11.5,74.3,23.1,7.1,0.2,34.4,0.2,10,25.1,12.4
Wewoka High School,https://www.schooldigger.com/go/OK/schools/3246001801/school.aspx,Wewoka,https://www.schooldigger.com/go/OK/district/32460/search.aspx,1121 S  Okfuskee,Wewoka,https://www.schooldigger.com/go/OK/city/Wewoka/search.aspx,74884,Seminole County,(405) 257-5473,9,12,Yes,No,(n/a),No,184,11.7,15.6,85.3,15.2,29.3,0,4.9,0,19,31.5,10.1
Holdenville High School,https://www.schooldigger.com/go/OK/schools/1479000694/school.aspx,Holdenville,https://www.schooldigger.com/go/OK/district/14790/search.aspx,112 E  9th St,Holdenville,https://www.schooldigger.com/go/OK/city/Holdenville/search.aspx,74848,Hughes County,(405) 379-3387,9,12,Yes,No,(n/a),No,257,21.9,11.7,80.2,5.4,36.2,0,8.2,0.4,0.8,49,9
KIPP Tulsa University Prep,https://www.schooldigger.com/go/OK/schools/0078002874/school.aspx,KIPP (Charter),https://www.schooldigger.com/go/OK/district/00780/search.aspx,541 S  43rd Street W Ave,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74127,Tulsa County,(918) 746-9641,9,12,No,Yes,(n/a),No,207,13,15.8,84.5,77.3,0.5,0,13,1.9,4.3,2.9,9
Memorial High School,https://www.schooldigger.com/go/OK/schools/3024001650/school.aspx,Tulsa,https://www.schooldigger.com/go/OK/district/30240/search.aspx,5840 South Hudson Avenue,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74135,Tulsa County,(918) 833-9600,9,12,Yes,No,(n/a),No,937,51.3,18.2,80,33.8,3.9,1.5,30.1,0.1,9.9,20.6,8.6
Will Rogers College High School,https://www.schooldigger.com/go/OK/schools/3024001679/school.aspx,Tulsa,https://www.schooldigger.com/go/OK/district/30240/search.aspx,3909 East Fifth Place,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74112,Tulsa County,(918) 833-9000,9,12,Yes,No,(n/a),No,927,42.3,21.8,92.8,18.2,4.5,0.5,59.2,0.1,5.6,11.8,8.5
Astec Charter High School,https://www.schooldigger.com/go/OK/schools/0078302399/school.aspx,Astec Charters,https://www.schooldigger.com/go/OK/district/00783/search.aspx,2401 NW 23rd Street  Ste  39A,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73107,Oklahoma County,(405) 947-6272,9,12,Yes,Yes,(n/a),No,505,20.4,24.7,96.4,1.8,0.6,1.4,93.3,0,0,3,7.9
Hartshorne High School,https://www.schooldigger.com/go/OK/schools/1392000658/school.aspx,Hartshorne,https://www.schooldigger.com/go/OK/district/13920/search.aspx,520 South Fifth Street,Hartshorne,https://www.schooldigger.com/go/OK/city/Hartshorne/search.aspx,74547,Pittsburg County,(918) 297-2536,9,12,Yes,No,(n/a),No,193,13.9,13.8,91.7,0.5,44,1,6.2,0,6.2,42,7
Northwest Classen High School,https://www.schooldigger.com/go/OK/schools/2277001168/school.aspx,Oklahoma City,https://www.schooldigger.com/go/OK/district/22770/search.aspx,2801 Northwest 27th Street,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73107,Oklahoma County,(405) 587-6300,9,12,Yes,No,(n/a),No,1329,95.9,13.8,90.6,10.4,2.4,2.8,71.8,0.3,3.7,8.7,6.7
Daniel Webster High School,https://www.schooldigger.com/go/OK/schools/3024001675/school.aspx,Tulsa,https://www.schooldigger.com/go/OK/district/30240/search.aspx,1919 West 40th Street,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74107,Tulsa County,(918) 746-8000,9,12,Yes,No,(n/a),No,409,29.7,13.7,90.5,21.3,10.5,0.7,19.1,3.2,11.7,33.5,6.5
Nathan Hale High School,https://www.schooldigger.com/go/OK/schools/3024001653/school.aspx,Tulsa,https://www.schooldigger.com/go/OK/district/30240/search.aspx,6960 East 21st Street,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74129,Tulsa County,(918) 925-1200,9,12,Yes,No,(n/a),No,1017,52.5,19.3,88.4,19.8,4.9,1.3,48.9,0,5.7,19.5,4.9
East Central High School,https://www.schooldigger.com/go/OK/schools/3024001607/school.aspx,Tulsa,https://www.schooldigger.com/go/OK/district/30240/search.aspx,12150 East 11th Street,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74128,Tulsa County,(918) 746-9700,9,12,Yes,No,(n/a),No,1163,63.6,18.2,91.8,19.5,2.6,3.5,55.7,1.6,5.2,11.9,4.7
Hulbert Junior-Senior High School (Sr),https://www.schooldigger.com/go/OK/schools/1524029639/school.aspx,Hulbert,https://www.schooldigger.com/go/OK/district/15240/search.aspx,316 Rider Lane,Hulbert,https://www.schooldigger.com/go/OK/city/Hulbert/search.aspx,74441,Cherokee County,(918) 772-2501,9,12,No,No,(n/a),No,189,12.8,14.7,68.3,1.1,55,0,12.2,0,2.6,29.1,4.6
Haileyville High School,https://www.schooldigger.com/go/OK/schools/1362000645/school.aspx,Haileyville,https://www.schooldigger.com/go/OK/district/13620/search.aspx,3rd & Riley Street,Haileyville,https://www.schooldigger.com/go/OK/city/Haileyville/search.aspx,74546,Pittsburg County,(918) 297-2626,9,12,No,No,(n/a),No,77,6.6,11.5,77.9,0,66.2,0,1.3,0,1.3,31.2,2.5
Douglass High School,https://www.schooldigger.com/go/OK/schools/2277001130/school.aspx,Oklahoma City,https://www.schooldigger.com/go/OK/district/22770/search.aspx,900 N Martin Luther King Ave,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73117,Oklahoma County,(405) 587-4200,9,12,Yes,No,(n/a),No,413,32.4,12.7,89.8,69.2,1.5,2.7,14,0,6.3,6.3,2.2
Eagletown High School,https://www.schooldigger.com/go/OK/schools/1044000465/school.aspx,Eagletown,https://www.schooldigger.com/go/OK/district/10440/search.aspx,25 School Street,Eagletown,https://www.schooldigger.com/go/OK/city/Eagletown/search.aspx,74734,McCurtain County,(580) 835-2242,9,12,No,No,(n/a),No,45,5.7,7.8,64.4,2.2,37.8,0,6.7,0,11.1,42.2,2.2
Mason High School,https://www.schooldigger.com/go/OK/schools/1926000910/school.aspx,Mason,https://www.schooldigger.com/go/OK/district/19260/search.aspx,374006 E  1000 Road,Mason,https://www.schooldigger.com/go/OK/city/Mason/search.aspx,74859,Okfuskee County,(918) 623-0107,9,12,No,No,(n/a),No,75,6.3,11.8,72,2.7,25.3,0,5.3,0,29.3,37.3,1.9
